entity,category,modelname,correct,wrong,undefinied,documents
city,region-country,11_DV-mmg-blip2,0.47,0.47,0.06,137
city,city-region,11_DV-mmg-blip2,0.44,0.49,0.07,137
city,random,11_DV-mmg-blip2,0.48,0.45,0.07,137
city,country-continent,11_DV-mmg-blip2,0.48,0.49,0.03,137
country,random,11_DV-mmg-blip2,0.58,0.38,0.04,199
country,country-continent,11_DV-mmg-blip2,0.62,0.34,0.04,199
country,city-region,11_DV-mmg-blip2,0.6,0.33,0.07,199
country,region-country,11_DV-mmg-blip2,0.56,0.36,0.08,199
continent,city-region,11_DV-mmg-blip2,0.62,0.22,0.16,193
continent,random,11_DV-mmg-blip2,0.77,0.19,0.04,193
continent,region-country,11_DV-mmg-blip2,0.66,0.2,0.14,193
continent,country-continent,11_DV-mmg-blip2,0.67,0.16,0.17,193
