entity,category,modelname,correct,wrong,undefinied,documents
city,city-region,11_DV-mmg-llava_15_7b,0.88,0.1,0.02,137
city,region-country,11_DV-mmg-llava_15_7b,0.87,0.13,0.0,137
city,random,11_DV-mmg-llava_15_7b,0.87,0.12,0.01,137
city,country-continent,11_DV-mmg-llava_15_7b,0.9,0.1,-0.0,137
country,region-country,11_DV-mmg-llava_15_7b,0.92,0.07,0.01,199
country,random,11_DV-mmg-llava_15_7b,0.93,0.06,0.01,199
country,country-continent,11_DV-mmg-llava_15_7b,0.92,0.06,0.02,199
country,city-region,11_DV-mmg-llava_15_7b,0.92,0.07,0.01,199
continent,city-region,11_DV-mmg-llava_15_7b,0.78,0.06,0.16,193
continent,country-continent,11_DV-mmg-llava_15_7b,0.8,0.04,0.16,193
continent,region-country,11_DV-mmg-llava_15_7b,0.82,0.06,0.12,193
continent,random,11_DV-mmg-llava_15_7b,0.92,0.06,0.02,193
