entity,category,modelname,correct,wrong,undefinied,documents
city,random,11_DV-mmg-llava_16_7b0,0.93,0.07,-0.0,137
city,city-region,11_DV-mmg-llava_16_7b0,0.82,0.15,0.03,137
city,region-country,11_DV-mmg-llava_16_7b0,0.9,0.09,0.01,137
city,country-continent,11_DV-mmg-llava_16_7b0,0.92,0.07,0.01,137
country,random,11_DV-mmg-llava_16_7b0,0.95,0.05,0.0,199
country,city-region,11_DV-mmg-llava_16_7b0,0.92,0.08,-0.0,199
country,region-country,11_DV-mmg-llava_16_7b0,0.95,0.04,0.01,199
country,country-continent,11_DV-mmg-llava_16_7b0,0.96,0.03,0.01,199
continent,city-region,11_DV-mmg-llava_16_7b0,0.83,0.08,0.09,193
continent,region-country,11_DV-mmg-llava_16_7b0,0.72,0.06,0.22,193
continent,random,11_DV-mmg-llava_16_7b0,0.93,0.07,-0.0,193
continent,country-continent,11_DV-mmg-llava_16_7b0,0.78,0.08,0.14,193
