entity,category,modelname,correct,wrong,undefinied,documents
persons,country-gender-sensitive,11_DV-news400-instructBlip,0.85,0.11,0.04,122
persons,country-sensitive,11_DV-news400-instructBlip,0.82,0.16,0.02,122
persons,random,11_DV-news400-instructBlip,0.89,0.11,-0.0,122
persons,gender-sensitive,11_DV-news400-instructBlip,0.88,0.09,0.03,122
locations,region-country,11_DV-news400-instructBlip,0.88,0.09,0.03,67
locations,country-continent,11_DV-news400-instructBlip,0.96,0.04,0.0,67
locations,city-region,11_DV-news400-instructBlip,0.91,0.06,0.03,67
locations,random,11_DV-news400-instructBlip,0.96,0.04,0.0,67
events,same_instance,11_DV-news400-instructBlip,0.88,0.12,0.0,25
events,random,11_DV-news400-instructBlip,0.96,0.04,0.0,25
