entity,category,modelname,correct,wrong,undefinied,documents
persons,country-sensitive,11_DV-news400-instructBlip0,0.81,0.17,0.02,122
persons,gender-sensitive,11_DV-news400-instructBlip0,0.86,0.13,0.01,122
persons,country-gender-sensitive,11_DV-news400-instructBlip0,0.86,0.11,0.03,122
persons,random,11_DV-news400-instructBlip0,0.9,0.08,0.02,122
locations,random,11_DV-news400-instructBlip0,0.96,0.04,0.0,67
locations,country-continent,11_DV-news400-instructBlip0,0.93,0.03,0.04,67
locations,region-country,11_DV-news400-instructBlip0,0.87,0.07,0.06,67
locations,city-region,11_DV-news400-instructBlip0,0.9,0.06,0.04,67
events,random,11_DV-news400-instructBlip0,0.96,0.04,0.0,25
events,same_instance,11_DV-news400-instructBlip0,0.84,0.16,0.0,25
