entity,category,modelname,correct,wrong,undefinied,documents
persons,random,11_DV-news400-llava_15_13b6,0.91,0.09,-0.0,121
persons,gender-sensitive,11_DV-news400-llava_15_13b6,0.85,0.15,0.0,121
persons,country-gender-sensitive,11_DV-news400-llava_15_13b6,0.79,0.21,-0.0,121
persons,country-sensitive,11_DV-news400-llava_15_13b6,0.83,0.17,0.0,121
locations,city-region,11_DV-news400-llava_15_13b6,0.93,0.07,-0.0,67
locations,random,11_DV-news400-llava_15_13b6,0.99,0.01,0.0,67
locations,region-country,11_DV-news400-llava_15_13b6,0.91,0.09,-0.0,67
locations,country-continent,11_DV-news400-llava_15_13b6,0.94,0.06,0.0,67
events,same_instance,11_DV-news400-llava_15_13b6,0.92,0.08,-0.0,25
events,random,11_DV-news400-llava_15_13b6,0.96,0.04,0.0,25
