entity,category,modelname,correct,wrong,undefinied,documents
persons,gender-sensitive,11_DV-news400-llava_15_7b,0.84,0.15,0.01,122
persons,random,11_DV-news400-llava_15_7b,0.87,0.12,0.01,122
persons,country-sensitive,11_DV-news400-llava_15_7b,0.8,0.17,0.03,122
persons,country-gender-sensitive,11_DV-news400-llava_15_7b,0.77,0.2,0.03,122
locations,region-country,11_DV-news400-llava_15_7b,0.88,0.12,0.0,67
locations,country-continent,11_DV-news400-llava_15_7b,0.94,0.06,0.0,67
locations,random,11_DV-news400-llava_15_7b,0.94,0.06,0.0,67
locations,city-region,11_DV-news400-llava_15_7b,0.91,0.09,-0.0,67
events,random,11_DV-news400-llava_15_7b,0.84,0.16,0.0,25
events,same_instance,11_DV-news400-llava_15_7b,0.76,0.2,0.04,25
