entity,category,modelname,correct,wrong,undefinied,documents
persons,gender-sensitive,11_DV-tamperednews-blip26,0.54,0.45,0.01,94
persons,country-sensitive,11_DV-tamperednews-blip26,0.52,0.43,0.05,94
persons,country-gender-sensitive,11_DV-tamperednews-blip26,0.49,0.47,0.04,94
persons,random,11_DV-tamperednews-blip26,0.49,0.47,0.04,94
locations,random,11_DV-tamperednews-blip26,0.44,0.53,0.03,94
locations,region-country,11_DV-tamperednews-blip26,0.44,0.52,0.04,94
locations,city-region,11_DV-tamperednews-blip26,0.48,0.47,0.05,94
locations,country-continent,11_DV-tamperednews-blip26,0.46,0.48,0.06,94
events,random,11_DV-tamperednews-blip26,0.55,0.39,0.06,94
events,same_instance,11_DV-tamperednews-blip26,0.51,0.44,0.05,94
