entity,category,modelname,correct,wrong,undefinied,documents
persons,random,11_DV-tamperednews-instructBlip,0.87,0.12,0.01,101
persons,country-sensitive,11_DV-tamperednews-instructBlip,0.89,0.11,-0.0,101
persons,country-gender-sensitive,11_DV-tamperednews-instructBlip,0.83,0.15,0.02,101
persons,gender-sensitive,11_DV-tamperednews-instructBlip,0.85,0.15,0.0,101
locations,city-region,11_DV-tamperednews-instructBlip,0.84,0.14,0.02,100
locations,region-country,11_DV-tamperednews-instructBlip,0.92,0.06,0.02,100
locations,random,11_DV-tamperednews-instructBlip,0.93,0.05,0.02,100
locations,country-continent,11_DV-tamperednews-instructBlip,0.94,0.05,0.01,100
events,random,11_DV-tamperednews-instructBlip,0.93,0.06,0.01,95
events,same_instance,11_DV-tamperednews-instructBlip,0.94,0.06,0.0,95
