entity,category,modelname,correct,wrong,undefinied,documents
persons,random,11_DV-tamperednews-llava_15_13b,0.79,0.19,0.02,101
persons,gender-sensitive,11_DV-tamperednews-llava_15_13b,0.8,0.19,0.01,101
persons,country-gender-sensitive,11_DV-tamperednews-llava_15_13b,0.79,0.19,0.02,101
persons,country-sensitive,11_DV-tamperednews-llava_15_13b,0.82,0.14,0.04,101
locations,region-country,11_DV-tamperednews-llava_15_13b,0.77,0.12,0.11,100
locations,country-continent,11_DV-tamperednews-llava_15_13b,0.86,0.09,0.05,100
locations,random,11_DV-tamperednews-llava_15_13b,0.86,0.09,0.05,100
locations,city-region,11_DV-tamperednews-llava_15_13b,0.62,0.15,0.23,100
events,same_instance,11_DV-tamperednews-llava_15_13b,0.8,0.15,0.05,95
events,random,11_DV-tamperednews-llava_15_13b,0.82,0.17,0.01,95
