entity,category,modelname,correct,wrong,undefinied,documents
persons,gender-sensitive,312_DV-news400-instructBlip_trained,0.5,0.5,0.0,121
persons,random,312_DV-news400-instructBlip_trained,0.56,0.44,-0.0,121
persons,country-sensitive,312_DV-news400-instructBlip_trained,0.46,0.54,0.0,121
persons,country-gender-sensitive,312_DV-news400-instructBlip_trained,0.45,0.55,0.0,121
locations,random,312_DV-news400-instructBlip_trained,0.51,0.49,0.0,67
locations,city-region,312_DV-news400-instructBlip_trained,0.54,0.46,-0.0,67
locations,region-country,312_DV-news400-instructBlip_trained,0.49,0.51,0.0,67
locations,country-continent,312_DV-news400-instructBlip_trained,0.49,0.51,0.0,67
events,random,312_DV-news400-instructBlip_trained,0.44,0.56,0.0,25
events,same_instance,312_DV-news400-instructBlip_trained,0.36,0.64,0.0,25
