entity,category,modelname,correct,wrong,undefinied,documents
persons,country-gender-sensitive,312_DV-tamperednews-instructBlip_base,0.54,0.29,0.17,94
persons,random,312_DV-tamperednews-instructBlip_base,0.59,0.31,0.1,94
persons,country-sensitive,312_DV-tamperednews-instructBlip_base,0.45,0.44,0.11,94
persons,gender-sensitive,312_DV-tamperednews-instructBlip_base,0.54,0.33,0.13,94
locations,region-country,312_DV-tamperednews-instructBlip_base,0.59,0.14,0.27,94
locations,city-region,312_DV-tamperednews-instructBlip_base,0.46,0.24,0.3,94
locations,random,312_DV-tamperednews-instructBlip_base,0.62,0.15,0.23,94
locations,country-continent,312_DV-tamperednews-instructBlip_base,0.54,0.16,0.3,94
events,same_instance,312_DV-tamperednews-instructBlip_base,0.63,0.3,0.07,94
events,random,312_DV-tamperednews-instructBlip_base,0.52,0.35,0.13,94
