entity,category,modelname,correct,wrong,undefinied,documents
city,random,DV-mmg-blip_2_answers,0.45,0.5,0.05,137
city,country-continent,DV-mmg-blip_2_answers,0.41,0.53,0.06,137
city,region-country,DV-mmg-blip_2_answers,0.41,0.5,0.09,137
city,city-region,DV-mmg-blip_2_answers,0.37,0.5,0.13,137
country,country-continent,DV-mmg-blip_2_answers,0.49,0.45,0.06,199
country,region-country,DV-mmg-blip_2_answers,0.36,0.54,0.1,199
country,city-region,DV-mmg-blip_2_answers,0.41,0.49,0.1,199
country,random,DV-mmg-blip_2_answers,0.43,0.5,0.07,199
continent,country-continent,DV-mmg-blip_2_answers,0.51,0.27,0.22,193
continent,random,DV-mmg-blip_2_answers,0.59,0.35,0.06,193
continent,region-country,DV-mmg-blip_2_answers,0.44,0.28,0.28,193
continent,city-region,DV-mmg-blip_2_answers,0.46,0.28,0.26,193
