entity,category,modelname,correct,wrong,undefinied,documents
city,random,DV-mmg-instructBlip_answers,0.92,0.07,0.01,137
city,country-continent,DV-mmg-instructBlip_answers,0.87,0.12,0.01,137
city,region-country,DV-mmg-instructBlip_answers,0.88,0.12,0.0,137
city,city-region,DV-mmg-instructBlip_answers,0.89,0.09,0.02,137
country,random,DV-mmg-instructBlip_answers,0.96,0.04,0.0,199
country,region-country,DV-mmg-instructBlip_answers,0.96,0.03,0.01,199
country,country-continent,DV-mmg-instructBlip_answers,0.96,0.03,0.01,199
country,city-region,DV-mmg-instructBlip_answers,0.95,0.03,0.02,199
continent,random,DV-mmg-instructBlip_answers,0.92,0.07,0.01,193
continent,region-country,DV-mmg-instructBlip_answers,0.77,0.04,0.19,193
continent,country-continent,DV-mmg-instructBlip_answers,0.82,0.05,0.13,193
continent,city-region,DV-mmg-instructBlip_answers,0.8,0.04,0.16,193
