entity,category,modelname,correct,wrong,undefinied,documents
city,region-country,DV-mmg-llava_1_5_7b_answers,0.89,0.11,-0.0,137
city,country-continent,DV-mmg-llava_1_5_7b_answers,0.88,0.1,0.02,137
city,city-region,DV-mmg-llava_1_5_7b_answers,0.88,0.11,0.01,137
city,random,DV-mmg-llava_1_5_7b_answers,0.9,0.09,0.01,137
country,random,DV-mmg-llava_1_5_7b_answers,0.94,0.05,0.01,199
country,region-country,DV-mmg-llava_1_5_7b_answers,0.93,0.06,0.01,199
country,city-region,DV-mmg-llava_1_5_7b_answers,0.9,0.09,0.01,199
country,country-continent,DV-mmg-llava_1_5_7b_answers,0.93,0.07,-0.0,199
continent,random,DV-mmg-llava_1_5_7b_answers,0.91,0.07,0.02,193
continent,city-region,DV-mmg-llava_1_5_7b_answers,0.79,0.04,0.17,193
continent,country-continent,DV-mmg-llava_1_5_7b_answers,0.8,0.07,0.13,193
continent,region-country,DV-mmg-llava_1_5_7b_answers,0.78,0.03,0.19,193
