entity,category,modelname,correct,wrong,undefinied,documents
persons,country-sensitive,DV-news400-instructBlip_answers,0.82,0.16,0.02,122
persons,country-gender-sensitive,DV-news400-instructBlip_answers,0.85,0.11,0.04,122
persons,gender-sensitive,DV-news400-instructBlip_answers,0.88,0.09,0.03,122
persons,random,DV-news400-instructBlip_answers,0.89,0.11,-0.0,122
locations,city-region,DV-news400-instructBlip_answers,0.91,0.06,0.03,67
locations,country-continent,DV-news400-instructBlip_answers,0.96,0.04,0.0,67
locations,random,DV-news400-instructBlip_answers,0.96,0.04,0.0,67
locations,region-country,DV-news400-instructBlip_answers,0.88,0.09,0.03,67
events,same_instance,DV-news400-instructBlip_answers,0.88,0.12,0.0,25
events,random,DV-news400-instructBlip_answers,0.96,0.04,0.0,25
